FIRE_ID,FIRE_NAME,YEAR,ACRES,latitude,longitude
CA3363711677119890621,UNNAMED,1989,4912.0,33.6374695546528,-116.76721963442444
CA3407511899419891029,PACIFIC,1989,3178.0,34.07561650367687,-118.99133184526059
CA3400311800319890703,TURNBULL FIRE,1989,1338.0,34.004494104426335,-118.00116168379782
CA3393511769419891130,YORBA,1989,7028.0,33.93395977688392,-117.7293259615953
CA3261711666919910617,BARRETT,1991,1262.0,32.61771098506523,-116.67034285687978
CA3455811920219911020,LION,1991,1766.0,34.55614283229994,-119.20190472560584
CA3431611760419910821,STOCKTON,1991,1505.0,34.31577366529276,-117.60444998106442
CA3655211908319910922,BLUE MOUNTAIN,1991,2482.0,36.57422944227028,-119.08082563729273
CA3633711886419911001,VAN GORDEN VMP,1991,1115.0,36.335475763915284,-118.8700750136933
CA3532811956919930510,ELK HILLS 2,1993,5376.0,35.31275544039532,-119.57160048792655
